manip;HE;conc_mg_L;DO
manip 0506;M8;1,69;
manip 0506;M8;1,69;0,227
manip 0506;M8;1,69;0,198
manip 0506;M8;3,38;0,203
manip 0506;M8;3,38;0,171
manip 0506;M8;3,38;0,162
manip 0506;M8;3,38;0,177
manip 0506;M8;6,75;0,1665
manip 0506;M8;6,75;0,1985
manip 0506;M8;6,75;0,2295
manip 0506;M8;6,75;
manip 0506;M8;13,5;0,218
manip 0506;M8;13,5;0,196
manip 0506;M8;13,5;0,195
manip 0506;M8;13,5;
manip 0506;M8;27;0,0775
manip 0506;M8;27;0,0375
manip 0506;M8;27;0,0615
manip 0506;M8;27;0,0815
manip 0506;M8;54;0,0055
manip 0506;M8;54;0,0035
manip 0506;M8;54;0,0035
manip 0506;M8;54;0,0055
manip 0506;M8;108;0,004
manip 0506;M8;108;0,006
manip 0506;M8;108;0,006
manip 0506;M8;108;0,004
manip 0506;M8;216;0,004
manip 0506;M8;216;
manip 0506;M8;216;0,006
manip 0506;M8;216;0,004
manip 0506;M8;432;-0,0035
manip 0506;M8;432;0,0005
manip 0506;M8;432;-0,0025
manip 0506;M8;432;-0,0025
manip 0506;M9;0;0,268
manip 0506;M9;0;0,31
manip 0506;M9;0;0,272
manip 0506;M9;0;0,262
manip 0506;M9;0,4025;0,2375
manip 0506;M9;0,4025;0,2495
manip 0506;M9;0,4025;
manip 0506;M9;0,4025;0,2025
manip 0506;M9;0,805;
manip 0506;M9;0,805;
manip 0506;M9;0,805;
manip 0506;M9;0,805;0,2005
manip 0506;M9;1,61;0,2105
manip 0506;M9;1,61;0,2445
manip 0506;M9;1,61;
manip 0506;M9;1,61;0,2255
manip 0506;M9;3,22;0,2285
manip 0506;M9;3,22;
manip 0506;M9;3,22;0,2125
manip 0506;M9;3,22;0,2355
manip 0506;M9;6,44;0,2005
manip 0506;M9;6,44;0,1805
manip 0506;M9;6,44;
manip 0506;M9;6,44;0,2135
manip 0506;M9;12,88;0,188
manip 0506;M9;12,88;0,165
manip 0506;M9;12,88;0,219
manip 0506;M9;12,88;0,215
manip 0506;M9;25,75;0,122
manip 0506;M9;25,75;0,098
manip 0506;M9;25,75;0,142
manip 0506;M9;25,75;0,151
manip 0506;M9;51,5;0,0345
manip 0506;M9;51,5;0,0515
manip 0506;M9;51,5;0,0455
manip 0506;M9;51,5;0,0485
manip 0506;M9;103;-0,0035
manip 0506;M9;103;-0,0035
manip 0506;M9;103;
manip 0506;M9;103;-0,0095
manip 0506;M9;206;-0,0185
manip 0506;M9;206;-0,0185
manip 0506;M9;206;-0,0085
manip 0506;M9;206;0,0025
manip 0506;M9;412;-0,0125
manip 0506;M9;412;-0,0035
manip 0506;M9;412;-0,0035
manip 0506;M9;412;-0,0205
manip 0506;M10;0;
manip 0506;M10;0;
manip 0506;M10;0;0,236
manip 0506;M10;0;0,23
manip 0506;M10;0,4225;0,255
manip 0506;M10;0,4225;0,251
manip 0506;M10;0,4225;0,211
manip 0506;M10;0,4225;
manip 0506;M10;0,845;0,2025
manip 0506;M10;0,845;0,2275
manip 0506;M10;0,845;0,2185
manip 0506;M10;0,845;0,1925
manip 0506;M10;1,69;0,2095
manip 0506;M10;1,69;0,2395
manip 0506;M10;1,69;0,2655
manip 0506;M10;1,69;0,1925
manip 0506;M10;3,38;0,228
manip 0506;M10;3,38;0,209
manip 0506;M10;3,38;0,195
manip 0506;M10;3,38;0,168
manip 0506;M10;6,75;0,1985
manip 0506;M10;6,75;0,1805
manip 0506;M10;6,75;0,1645
manip 0506;M10;6,75;0,1955
manip 0506;M10;13,5;0,178
manip 0506;M10;13,5;0,127
manip 0506;M10;13,5;0,17
manip 0506;M10;13,5;0,169
manip 0506;M10;27;0,0265
manip 0506;M10;27;
manip 0506;M10;27;
manip 0506;M10;27;
manip 0506;M10;54;
manip 0506;M10;54;0,006
manip 0506;M10;54;0,006
manip 0506;M10;54;0,007
manip 0506;M10;108;0,0065
manip 0506;M10;108;
manip 0506;M10;108;0,0105
manip 0506;M10;108;0,0105
manip 0506;M10;216;0,004
manip 0506;M10;216;0,003
manip 0506;M10;216;0,009
manip 0506;M10;216;0,003
manip 0506;M10;432;-0,0105
manip 0506;M10;432;-0,0135
manip 0506;M10;432;-0,0095
manip 0506;M10;432;-0,0185
manip 0506;M11;0;
manip 0506;M11;0;0,23
manip 0506;M11;0;0,193
manip 0506;M11;0;
